address,amount
juno103ajn274pn90ley36xutu9junq8392f6s3qa8v,14048843.0
juno103cfkzwm2zrtrm88jqk6d8xm0sxd2j4ktwnhak,11685511.0
juno103dn0zugfjjygrnleszjjeuz8rztxfx9s3qkst,14048843.0
juno103esyzcuudtjuy8w8ftzxuyeadq6g9y4h0t6us,10003777.0
juno103f7rjq2mwdkl7pek9punnjtr909rmp0zwgnax,14048843.0
juno103h3z4pxwk7787pr8k638gs5nlmyt6z3qll5z2,38313665.0
juno103hn5wdhau9ly968z7n3a9360v7gw9v9d0vmsp,22544195.0
juno103hpgvyh6jan42gdn3j3vpk39dwgp5q77jnkkt,14048843.0
juno103htsa0tdw5mktgjc4phusvttlxxnmxvw6nn5v,5130170.0
juno103hw6zraghu8qq3azfxxkt2kx8azp2u9elw937,8089700.0
juno103hw9v9xkpvywj27ypnqmqnfqlfur62ffk0yv9,10109878.0
juno103j9kd2xnpt30m6wtpcldlpvy3ge8watl4k34u,5147922.0
juno103jcwlua8utmhy7k8sk0kp3flu3ustdxlf803c,14048843.0
juno103jd8s5qwcjj4aapqtxdxqnz0j97uckzj72mhw,10411737.0
juno103l025fw2x7d8k8px7d07vu667x0h5p56mnveh,12377832.0
juno103lup5h8mcntlhdqjajjp0elfadw9gzm4naxzp,5053423.0
juno103lvyxc5eu2xru2n6xx62egsrfv4svmgmtvs26,6717604.0
juno103mj43agwvtfgz8prfq2eepxwnstfthf9lfwpv,13289179.0
juno103n0x78hlqg0egzg2932ya9kcwaq9js4eazzl4,12416921.0
juno103n2fyjdal748esfkxft6aepecdmzp0r0myljf,47997922.0
juno103nkz0hgnpwmjveafmr57xwmvlluuj4s9ar5wp,42174935.0
juno103nzfrmr4cttxrm7326z89sprgvg2fag03g3nz,28097686.0
juno103ptrhsdhjeqpswnjf4eq4ppn05p2pnpc48c85,9246801.0
juno103rlae22qlqevmqvfq2j5mpdk6rxka4lvg77hl,5242232.0
juno103rqha0kps4kl9wr0lzqcjahfp3p6d5uwypl90,15273273.0
juno103rr6cdh68a35astr96778hyxzf3zf0hvl4ktm,641157.0
juno103sqglu3690n25qv5400d3vy0y54eczn5sl227,17380300.0
juno103vagadrtdgmlqaz9g04yyv6qece64v5v5tmxt,709753.0
juno103verdnv4pzztty50ua7gs5gj25l2gwu0msyxy,30085603.0
juno103vxut865hpn6x0wjly9ds6dmdtgkhp97qnfqm,14048843.0
juno103wvyrp6z4peq0rusyhskkjce8qer47tw7rqa6,10432835.0
juno103x48ru93zwg4lt5k2sehghx37pum48r2x72xe,14048843.0
juno103yemep0ss6mmwpgng49je2da84ey0a00yp6z6,28097686.0
juno103z040l3hh3ys4wzsmazp2l5tfdldyjp978lwy,14048843.0
juno103zlxk62zepp2a4945um8ru7tcygtxrqrhls8v,14048843.0
juno1040yzzm5pv2f28n9s5hlhhykndumz870sjezka,24278928.0
juno10425flc7vh9pvzjcjkhs938j74llgv402a083m,10203306.0
juno1043kmkxrkyljcudd9jwxx7lnem27hs3s2pn60j,5274259.0
juno1043xysa0tjndt6c80ymcgc7u4ksf76w85zm963,15306066.0
juno1044c4yzxcue2z3kxfn7v55fyzpsg42hpn9s4kk,8467772.0
juno10469xddh2rauwf4l7jytz4kfx2c9vc74kup095,13137084.0
juno1046qu0r6zcwxyfql6zwecvmkwr95f4udxwjftw,14048843.0
juno1046vlzf78q0tu4zvkjvyd24k0506a5r605eze8,20952870.0
juno1048ccumd7dcvu4ee6z0z70rfdzenqze3dyqunv,5062517.0
juno1049sudyrjuml0tsqjx2t4d3lvptkngsht8y7t5,14048843.0
juno1049ul4yukgk6xhndrrexk7egq0rv3sytw7ynck,19252017.0
juno1049ye8lese3s2a6rr2quh3des6pynmqpnhp48p,74652079.0
juno104algnpncvwvsrm24ds2v2uk34gepg077mpe8a,14048843.0
juno104amjsedvstu3ke293txa5hlryeyzr3c94stpf,5060524.0
juno104cycmcez05tax6xeseg5gsec07n27cnhfh5u4,14048843.0
juno104faasvlxgnehrxnpdfsf8xkrpz8h8klecpmg0,5456605.0
juno104fq56d9attl4m709h7mgx9lwqklnh05j72gd6,14048843.0
juno104g8u70dj0hdt7dvejhum5rhk55kgmc5uzw05m,14048843.0
juno104h8x484ps9nj2467mzwmqspkwf0u7wfxrzumv,18016904.0
juno104kzq58m95kyx67ah8alzl8n468rkfh56u28a7,5102937.0
juno104mfesqnaqdhrgat3w37rfphluep5dvw3zh6sq,14048843.0
juno104mh7qdutwx2zaf83mynjm8kklpj62cwm4uzjn,24841370.0
juno104mlhyu7gm4mtp5qchvgjc4s9af0d4hkcralvy,6274469.0
juno104mym7la7kar069m4mpullxkmwctxexnc6xe8j,10153968.0
juno104n5l26ajtrtcs22cy26648euygapmy9nu3lz4,8228359.0
juno104pg3egr0k2g22ks4jylwvcla5zjpdxcyrd84k,14048843.0
juno104qv6ew9ealp88n05ga2ke29umuf8sv9wzxhy3,5274014.0
juno104rdx7yczg00p924fvra9m3ugqayss6ryfau3s,66300199.0
juno104tlrtp7642rgx5nhqnfrp3y943daepgqlw066,33583902.0
juno104v3e5ydyszf6t0k5hsgcqw2hhpvekvjdp66y6,14048843.0
juno104wxkynmjevqqklvqdktdvusjxlk783y87c9aw,14048843.0
