Address,dragon_count,Balance
juno1g2xwrvr5zd37vcmydc5y4dz6s8qw04ctwvcwsm,8,3193
juno10rdut36lnhsrudd3t4zqqgpvrmxam4lel2qmnx,15,3393
juno1fjp4xqn27508fqd3xql7hw4phwtdymdp5ruerc,3,8416
juno13x97epcrp6la7sv90kmhc7fs0qkjrvc7g8eg9g,59,11598
juno1nrp724wkvpqz03naucqpqmvnfrrpuq8zgygmmd,3,3125
juno1cnd5l4w0jg8y7kpqu24shqrh45qylmzd0uqenq,3,7918
juno1ydjntynf3zhlv2fwh54cxh37q0qc5ax3jlzxh4,1,2899
juno1ucuxdc2jd6guvwuvktj88p362re6qxmvnuudz9,3,7113
juno136wrasqzaplzsakzf62g0czq3jeh6wxnh4fzkf,3,7757
juno1gzk4avrh7f5wx9rdxaqrkpun3m3elp6yvsl458,2,3330
juno1lq7ja884xuu7fjuxa74k2uzwheq404amy9gzwr,7,5754
juno1jx0xqtn3jzc6wnc9565mr5spkf5nccxkty9k5q,1,2820
juno10ctrsv9t2g8fuu8df5rcnppn3vy9dfxfdzztdr,5,8462
juno1p5haj46svygrvqatz6p8vz3jazhq9rczvpmmyq,2,3069
juno1eeka5jwn4mr9vuq9n70sg73vhsg8cpvrc08rfs,13,3707
juno18yqlugeuznjwvdzhyjuqydgkrlcqyks4hyrx0e,3,5349
juno1dvejtyymmsgc56lrvacahcrw7237qpwjesk23f,6,6328
juno1fwsyhvevzgku3g8uzgz6qld54dcv352a0czu73,1,2666
juno1qgdhdhu47hgx8j7qkdcsneu5e2saypmlsz6qme,18,17061
juno1a5qcfmcln4zrjzrzfszcmt8yczngd7ccl9gnq6,9,8529
juno1x0gn9umx7dfqh984edssk5y6etljhgfvj42gn2,3,3539
juno1w7u0h0vjarhhfn6y4q2kp6vw0j7t3ugfjkj970,4,4192
juno1paf5lkuc5sudcea2kxx7fwkksm3exvk4a080fr,1,2621
juno1fx4vyh2ds2pgp6k5lkjfv334v66yyx7c0ynesm,10,7707
juno1dmk7jxqx8rta9fgpjdcvr44qzjw4he6llupms3,9,3030
juno19tpkprsxuwqwyea0sqxs3ltqv9wk3e2vlgl0ue,3,2938
juno1p9wy8klzgjh5zu9xgx85z3lkma38k43zrzfgyr,6,4094
juno1pqlnth0n07fw55hr720rtfenn98gl2rd9m3ewf,1,2623
juno1626tetgz353qzxf3y9nsu4g27sek3gtssyt9qt,2,2866
juno1n9law2cy3rtyl7han6rt0asfdnj709h83dq303,2,4332
juno1hx432jn9w4ddd5x94ynt04h6u05ll2ydqhp7p7,20,3889
juno1pr6kwdln80nlr5n7ac77kw0rgrn506uff7s4fd,8,2676
juno1wpen8s55waytvjqafjs9dr4nhsy80psdmjfze4,1,2552
juno13744ecfwf85knq8l3u3zt9ctg52q9n42wepxjx,19,46217
juno1t3my7828kx40y2cewfejscwcfcu2gnztgu5fp5,2,2567
juno1yeu7k53atk0jznxwpnlhnexju9w046r52cq0sa,3,4280
juno1aq33wu0ld26l473ykv9gzc76d8pdyk0p8xd9gn,9,3798
juno1afurr7aaqjmjsplf25t3uyawcff9g465jr0wyg,18,4587
juno1x5hyxmqp0h7rjzme32gk2dpmuzp94t8577dn86,13,2811
juno1cw89l8w5hg05tw4p8maau4sfyez9p32epztvt2,1,2600
juno1nat09n7vfkgrv3p78vyan203umugmrkxe9mcrz,1,2520
juno1lcgzkqstk4jjtphfdfjpw9dd9yfczyzmct5uyu,4,8531
juno12v7mcycux9azastx3z6kc6j7mcw5j7kt657q3m,1,2522
juno1ev02crc36675xd8s029qh7wg3wjtfk37v2lyyv,24,12127
juno1gkchs6p8wqaz9rutfnqc3hx0qnh2mwkrdvjev7,4,7447
juno1nnmj6fz3hn7eulgcale0n7k6n7vrrxxqeqs25z,87,14973
juno1d62tpjl6h9cldp45d97mlq9ed93wx623e4y8rz,3,2799
juno16n9npclhpfd0vthsr8udq02aazqta7ew6pr57t,9,5644
juno1afkyr2zkwgj0urt4ql54xc6n7vu7lucnpa82hu,5,8871
juno1hcd0hjf6kskhvhvs77c95ms9lntc7lu6g40rw9,8,5161
juno1aze45mu9nsh56zk8355khqnjr6r0tl9l02k0ej,6,4411
juno1m8296ef3w055lqx6qu0nlpvfnyn6myr9qvtq33,11,3948
juno1pcz2c6zc5te05hqcwsqavtv63lpy705eeak85x,43,9391
juno17vataj99ygeegdt0aw7a84aj7vs63dmywje8jn,3,2633
juno1v68vrs3nndqlqhghqrcsh3v7nhahtwer3dqwl9,1,2327
juno1rntaqydxgmm5zkkzzhawmfegrhxlx8rkxh3ft0,4,6114
juno1svj6jed5clutrvm3e7p56nphgl8uqd9zyzta5w,7,4932
juno1lmrapmzkfgn9hhvauyu7efgkrjgyhqs4x6czgf,6,5311
juno1akaypt4fptt9dux4sxys4tnzfmjratl3suv4v3,3,2989
juno1ewc4gnac9cvhgqj4l508a8y0vz7tt49us5ypn8,7,2367
juno1hu833h33pnrpevcpl2g2kezjn7zm3va6h4f746,2,4673
juno1fy2alpnkh3prslsd4yl5ft9lxygrdtdxmtjvku,3,2812
juno1zn2mtshah9l8466jfwjulftkv70xvqhsv4w6nt,2,2442
