Address,Balance
juno10zr5rvwjghe97unzjg7uzgm8rpym9e2tz6gmw5,1.341889
juno12247yy7a2azc9vr256wgrc3rza5vuehdne8ptj,2
juno1227eelscd97m79az2kndg553534ewwt6q0qv7t,1
juno122fu20frv5jmtj59gr7g3yxx8azl664yx47ec9,0.00104
juno122vs79vdvukvsqdwjgz49vrej66jyaj35u5mv7,0.070626
juno1242l37paupq0fxcqd8cvnth5x6s6gcczsju9ck,1.01
juno124d766dka8u40kupj8nvsp9rf0lzyugv3phaf7,0.09236
juno124esrkjggn9tj7r98s85px3d6u3yq3dt4k7d6q,1
juno124tztqwj5lkf434pq9jjcxykda2mn964e75uqp,0.133812
juno1278jawm55hux8ekq5evkugzr59vchdwcn0gdq5,0.1
juno1279zrl88kuzjz5u8huzmulky9e3akqwa8pjnpp,1
juno128g908zusk8tdskul5su664drlqz3k8ytwhpj4,1
juno128zyy8ku95je5r284zeptgy88mmspcwejuxkdk,1
juno12duth72wczxgzp8kdhsu6ulzu2msshe5tka4lk,0.501141
juno12ftp45z2mj8skpv355hyexfrtq5dp4gz3np4xh,0.5
juno12gc404g69cahykmzseeu8kd7l622kwvgaswank,2
juno12gmpp2fp2axr7r92w2na6ucq04svvka6z833fv,0.21
juno12h2fs97hahnghx5g8kts9ny9fw84wckw8xh0n3,0.51069
juno12hkf4hsuspm3g7mcdd2jhq9zmmdp756hzdam3l,1.412258
juno12hwz6v0xfhatxelgrq2nyru3euzrnl7gaqe2w3,1
juno12jkh5estuqwh6aw67rly79urkyenxvdegg47sx,1.01
juno12jqudm0nrfds5g55rn2jzt3c3hvzyqx8rnytcd,1.021177
juno12jzvhl7edt2ymepsrqjtgkkty6s63k8mx07q09,0.01
juno12kj5stha4cyn4scr770azhrex9v06k08nysrpk,0.03255
juno12l0ns2c834uuq4q7wh4yh748sel8fgam4zv02v,1
juno12mdekmt8f9vnrh4ldhmhspsrvlyus68qrwnugt,2.28525
juno12mgjv406wh5kq8mf3xtqjk0s0xtxxumnw0sfwn,0.5
juno12nd60d3pkh739n4lpf2kuz5kaxgfxdr9hua9m8,1.06
juno12pc8dyq4a5td8xhtg33pau4830rg8dm4pssay2,1
juno12psvx0lk2rn6gya6jc0ktxx5c4hu3mmhuj8e6v,1.00001
juno12qdy8ksqlhnrk3vu74wkqmrxsl3u3rj9ewekva,0.549473
juno12qr5w3cxn9ym67095hqmn3ryg5ue5hxd99ljux,0.513474
juno12qwjdjfcwrfwu2kew8wmj4qqmxa0x293tcc44y,0.505
juno12rege0n9rdfhg83lp7rn60ws9ezjfzplxa8d0l,2.504303
juno12rlmpsen59qh0tduwlw0p6vcv09hc9406razrj,1.01
juno12saxy20x0x3n7efuxpfeq4jqp0vqpazyjtkz38,1
juno12scnajjddcrkskht7mj7qplzxh7zkzfw8dltur,2.005182
juno12slt96ddw9wtppg7ce2hgxvcax4wsxfpyma3nh,0.5
juno12tdulmvjmsmpaqrpshz0emu0h9sqz5x5jkmerz,1
juno12u5xwzqe3zd9u7zu5urfsakxxkeajxgqtze9y9,1.01
juno12uk22nzee0hgahzttujcdce78ax627as3umnv7,3.132671
juno12utvy8hljexu6h0z3eux35wwsjvetz0arh360a,5
juno12vl79qcmjkverw0lh3qgxsrelkgh3te4nupdnn,0.766111
juno12wdcv2lm6uhyh5f6ytjvh2nlkukrmkdkzymxdv,2
juno12wn6juw74mal6jhc9nlw7ykdjcs5qtfh5uz8em,3
juno12wxgf9hwp39r3ffzku5y6xszux7s3xzpgzqlgs,1.012114
juno12wyh5wdaq7ej0tz5v8nkkgauz8cvlcdfewm2tg,5.295146
juno12xrqd6r5c862rg0jjvnn0ve2rekr8zhx6cjrq2,0.5
juno12xxsahjvtejrcw8u0wtscteujdny2l3u2zad6w,0.543548
juno12z8tmwxaguc6mqax8nhwtts5ultq675yqhfuez,1.05
juno12zd6wadq245ln77yx47l6e79u38trr2ptw5wsy,2
juno12zezz4hllguxudufp2vyc2ftewjdjl27cr8pgw,1
juno12zj672nek2fjrgsrje6dfje84lt34ycw78a8qx,1.001844
juno12zzxfkxz4mmgsah8rxehw666kt2gfj7fd2fpd7,0.001054
juno130gktfe84lgfrm3kszltxq5txzr52hgw8hjp03,0.218143
juno130klgc4fe2jxwan6eq6lhszk2efa99qvajg957,1
juno130n8t76nwa35el9dtj57xjz6xe0ql4mzppy4z0,0.2
juno130zqqa796hen6g6nfds6gjr0kd0yw7yhpu78pv,1.001
juno1323uenwvychnv4gplx9895w43tcd66lu6cvkgx,1.02
juno1328lzu98j94ualckk8l0f9y3qytsuqtmmrqf49,0.1
juno132pa2qn0e4cs4h7wrq268pg9rjks8q26lu97ez,1
juno1337gu8scfdfckj5xvk8k9dm79zss0ehg6gl9z7,0.077714
juno134lxzagv8vyrkw79p23p3kptvlyzc39fv9jqrr,0.001025
juno134ultcrapjnu8nxttt5rlc05tgeex2jazn0nca,1
juno135kjxhuwj4cjhk0l8kj6pmwhugc37l2mtn9x9d,0.001026
juno135u4fsgqd6umwek7fpl8l870282j0ha8w4yfwh,1
juno135zk6pvw7ds3zqmg37nu2m9ud8f50dmesjttrs,1.11
juno136rh00tyhnff8062sm0c0pcl6ncnktljs2wj06,1.085283
juno136tl6kt38cp5mhdjzh8rvfd6nhds22vgdj3ygs,1
juno136wsd7a20ylpaek8nmruug6kuhn5mtzm9dlmmg,0.5
juno1379vm20rs8mlcwsc8urfvjz97tmgmxurh63aau,1.1
juno139ey05mq4jz2tahflhxn8akr6t8yu62hfmexsn,1
juno13a7anfz0dw22ag5q8s8hge9w4vpvnvy5snmgz4,1.0204
juno13a9q7msmss0n9u5l9gz2rjjvph2avvdywcca2r,1.05
juno13ahrss2zvcsefz6htez7g47mewz8jzs9wehpt0,0.2
juno13ar6n8rpwj6m05v53glxlk95yn97p5z7s7vqxt,0.040526
juno13d2ujvs3q27ahxtuunq8pdrym4eq6jd53aqh7l,0.11
juno13d6uly688p4a99xa7nvnn2qkjaq0vqv06x5sll,2
juno13dl0ufwwzepvc5pzt97ep3v2kkvu6g87mlaek0,2
juno13dpy00jest96g7h5vdgvg9zpxq6xnclhpk4xdy,1
juno13e248q8ffdev74e2zgxzeajkzlhfx5r6hckcmd,0.001031
juno13efwwq8nx93awnrm24exwp2hlatglrqfp35meu,0.2
juno13ehzgru6en30s25aw35cdrkzx2xm7xds4mqgjx,0.144999
juno13ff658m82uagjf9lph7g8c3ukt9rvgg8jxkxcn,0.33
juno13fmu8qwseqtuyftcm4m4hjrc8ag4y44umncyhy,1.036449
juno13fpu0a8wj239aqzsesn5ceqkq2wq4zdqt2qjsr,1
juno13fyrv9huq880vkc3unl45grn2klgt5qqaauqz4,0.696487
juno13g93jaytndwnz8csvr0y5wtwv6avve0yyqmxwt,1
juno13gd97ke6erejqk2p050xkpc63jhtujrejmvj90,11.573814
juno13gj75f9twkc0v3tx7vlfd429n3ps8w0p48emwx,0.5
juno13gq4t86tzwnmh6y9h5q8z2fxz9v57pqsj6zr9a,1.5
juno13gvqalusnmapjgp3e6gnk9q832qv3g3uvq8s67,3
juno13h9whxjw9vujgz7tlagrxa577zsfe0qs0dl6ut,1
juno13hntztxnj65qd0ndtcfyksv6ye9mcgty8mf98l,0.006742
juno13jy67xu9cfc760ufemsrgw8stwfuyssq67lc08,0.001026
juno13k06vuqfyx6ulcsykyj7k05569lfqjgnl03yal,0.260331
juno13k4p55ls5m6srku3z24njhcqj550hjpkvlgzuf,1.012773
juno13ketvyvzqxh6rq08qez3dvekd02uxll66lnlyg,1
juno13kq23z2r66clgeag3pf5gzrgyx665lzpq0cya3,0.22225
juno13lh5t8659dxcth62l9wf82kzpnx2p083csrhda,0.001058
juno13lzly6934ymemk6k3tzvlu3tl7v7gzq34t9vvq,0.600417
juno13m36fkmqvy9neth6pvvfdps7h6r5tz2rcnyxhz,1.000019
juno13m6tpcafcayyumyyjn58ul25kpvy40uu5vtprv,0.0382
juno13mmjxwrgsx88hhyg74898m94af6ksv3hzh3p40,2
juno13nhlg7cqspec5e0yv0n6nts3zcmfnc6hzjmjy2,1.001121
juno13npfp6l5wuqst5n29gljzwsztck2u2yp5pk7gs,0.001053
juno13p5dt20sggkxpj9w0lgenk87tuj8ykz0gvx5uu,4.331876
juno13qg8wcye68jy2pzxlft33kp6q5u846c2fx4f3x,0.198078
juno13r93j6a0kue85x4f4caywnnk88gasm73pqnem4,1.1
juno13s2cpk43dhz4n8g6qtlqtsre87wqjlju6dg3yp,1
juno13s9szshycu4su2758snwm0u6xk7jl253w49qxu,1
juno13sc89sgjzeh55ngl9pqtch5tj2fvej85t24ysh,1.02
juno13stj4dcva0efyew5a9dk2ehp0zqwyv2jd32fsr,1.5
juno13stk27spscnwlfckcfd7fuluux6zq3zzu7l5qv,0.014001
juno13szf95cq89aurrmxgq6npuemzlstrqswar0j62,1.0001
juno13uaw2n8cumtunwaarfap02qz7tgtal9fjxf08p,0.001075
juno13uhl4tp3flplqpfnwjhz45req2wj2fjzrr85ns,0.516339
juno13vflc0nm2d06zv7ljyelhmev5t5vn54cv3d97y,0.001053
juno13vtg6907g7gta86unrpc3v2s378rt4pgulx3g6,0.529036
juno13w52a540e3k8p4e349f4uext56lf93q5smjg6x,0.573374
juno13wch9cqvesgw3c0rs0uuqt8q608zyyqwsdt2a8,1.014569
juno13xjmcfdsmhtpd3mhjyws2sqa5002mckynkwgga,1
juno13xl7vfyn0mwrwg27mvcta0cqy7dg3qyyaawepp,1
juno13ym9xeznvcpwyr9ytte3cf433zdkygq8h6r4vl,1.01
juno13ze97zcysvwxmpu0zpeq7fr5wx44advd38qhd5,1.100631
juno13zfhtvhdlyyhgjnaggpmd427qmvj0mp9hatvc6,0.000797
juno13zx732yhz3mwcvcjslw937ahle35tvr3m6gfc4,3
juno1408luectm6tlh2dme4tamwr023pu93c7xj3236,0.001052
juno140stnqge0vcwmve8g0q8mptzk0ufws5zpdfq6m,1.045026
juno140urkwnkt5mx3e8nc6dzu3awq29lfscmwtrggv,1.003996
juno1424u2qwgkjtgvg4lvk2sh2vfd75v25p854295s,0.1
juno142mkw368chwwmw2spwkck5d6axcmcq4zuxa94q,1
juno1430sd9ycr45sffsy25a4msy6kn72h8zrf34yej,1.63
juno1439r33x7s6x9qng73hu7cyxs9l3rw6ex40a3rf,1
juno143d2gk8dfffh5a77f23tml2de50jyasmkpr43u,3.5
juno143jxaatsv9slqk2jq4ptxqgnqhz9dpywrnrxk8,1
juno143m6gmdg2ux5cn6vyrtwhr8csf92fc2fpw2zrd,1.001801
juno1442humm2dyhj3r45dw734aswhlwmvr4q56vnny,1.026093
juno1445x7k85ad7exauuzywa3pkzm2veqqkrkvrndc,1.188861
juno144t874ylvqte30h4fx7nj7hu2cg9x9yra6y2sl,2.002747
juno144vf3489s7ddj3y43mpfxqvga40u2mhlpn6mvg,0.507603
juno144xas2mvvwxqk8rpldvjyalwta5hp7h3vag357,0.000041
juno1466f5xhn0lyf4wzdx8f0s45p07eulytw726wqc,0.5
juno146l37udxpsph626spp5cdz4fnnttyyqg6n0v72,1.03
juno147v27ld5gc4nrr3wx6atxef3kdkq8vxqlq6flt,0.001025
juno1488848gd5jup55vt3rm7ew752aep4k5qlj4ul0,1.029899
juno1488v3y25jfvywgc20k0t9xnkk48lhhy26esh4w,0.504903
juno148ncfd3ymxcrqu034rdehpprguz65cfwj9e63w,1.014614
juno1493he8w6gp6ku6mgkj9ujx95653n9uytcxjwk9,5
juno149dd9ynts3tda9fdu08y8u6q3wx88apgqsqqxg,0.501
juno149hr7lnj0tzu07uw7vlw27za89a5xq9w9ec6x2,0.2
juno14a5aejgzvu98q399enrr5er3pjjgckpgj2xu3h,0.01
juno14aas02xp34069h65fy0u7a0pww84hjdcdqjw3w,1.024173
juno14arwusqv86xqafczpntzc00yfwgur240n55edf,1.5
juno14cc0c0nfgkxj28623ntz6kvt0fr8zwkudxnf4u,0.507092
juno14cgvj8rvl5v2w8jllnf6jh9gdf2sgqgc9lyepw,0.120236
juno14e7m8uldm6wl0myhd6dhlqcmw7x6xvstnpca9h,1.030348
juno14edy0mskwzyen3g6p3w8tanzjm8e06kxmnmdjf,5.51199
juno14ee37sr25lrrt0vvgyrx8ru4gh6jl0wxaf5pn6,1.07535
juno14eflcqm6rzlvauwdvw29gg2vqjmddn090hzxt2,1
juno14eqgrtjzqkg76q6k6thh8xrmf6tea2gvgk3qsx,0.2
juno14fy7x853tu9tnpzj2u3dh0phzqafls8vujymfp,1
juno14ghs6hs8xkl9racufmqnvmg4l0n7unhpxlsxvh,1.1
juno14gm6da907hzv90fexkk04ax7f0n6y3jw5vrk9k,0.00004
juno14gwg2qaghttmmsm8a998kkv4sav0mke03r7gk8,0.373516
juno14gyusvlklkfzckx9hw24v73rjfnrv89kguhnq8,0.1
juno14h5yelrf9ys8gany9wv6drnfsd4mw8zwthx5my,2.05
juno14hj3ecw0wfaylqm4uakgnq48hvzwqxfdzc9hng,0.119417
juno14hp2s0269kx0n84gcuk3rf58su5evpuravcs4f,1.485554
juno14kc7pmt50a3ju3g3kk6t5v3arrznrjfh9ug9n7,1.017078
juno14kppj6tdqgt66l226586nszfun6jstackv7ugk,0.100331
juno14mwdpte6y9lktp4svrm8c4a5yuzhwychxj6lan,1.009032
juno14mwnqpl0a952tzxvq4cgqyavxcuznx20uk7yrc,1
