Address,Balance
juno1323uenwvychnv4gplx9895w43tcd66lu6cvkgx,15
juno132pa2qn0e4cs4h7wrq268pg9rjks8q26lu97ez,81.155258
juno132sr8zv7sjz6gkm00nktrj4j68zegf66nywqz9,19.9
juno1340sm04hj3mjk39rp96gzzxprwjdpvx9km0uvn,38.473351
juno135k7fxj8g64lvlxsz5ag27eawku0dehjjehuvv,626.734723
juno135zk6pvw7ds3zqmg37nu2m9ud8f50dmesjttrs,25
juno1360878zq3qxhh9eunw4ua7udmvx47kvskryqt5,35.088835
juno1367ty4dl6lyfwswk47a2qagzulesg7s9ya4tsz,36.17767
juno1370fn26kj4r7780clfsuqxg5xrw2jf668ccxvm,5.890061
juno138he9f7d7z8jp2hmtr3a58sqccr23rn0nnh440,0.418465
juno1399juvmrxytx5u54970zxkd8hz39669mreq0js,29.793481
juno13a4dtlz2wrlnxhnvvdkjj99gegn837cprxuqqh,2.384944
juno13c04jkf6fdg52wjnyf7c63d9eu3d005srr4vmr,30
juno13c6mgnfve6ja9y0jx5v0j2ylsx05nj7trkyl5k,22.669599
juno13cmdrg4k0cdzgv47tte5d4tjecgvww5a3xhlnj,35.17767
juno13cuad6ypa6jsx9sludzqyv5vxd87tlsjts6hxz,35
juno13d5ztr9ydpfdqwmf5yh4xd5n54ytk0m65c9u4x,20
juno13de2f33gh2nk7pghthm3h3hpjx8d2cxjnjxkd5,43.166636
juno13dnqmv55wxpah5jm2p94f8k3fhupetvy54mfse,35.17767
juno13eej67rs8lgkg77eyyefxrughp6y0fwnqzqfy9,2
juno13fyrv9huq880vkc3unl45grn2klgt5qqaauqz4,44
juno13g5hp9wveth8dm5f60a4ydq3aknvc3wdu0zem6,35
juno13gccl8hlxpkwsp2gc57q3kr9jhr8hz6d2j7ht9,21
juno13gq4t86tzwnmh6y9h5q8z2fxz9v57pqsj6zr9a,70.35534
juno13h2ydy9fddg2jssjc859xjk09qqk37fekdzuta,30
juno13h3az4cl8sl3m0q606hlyau7j2n63j3jtwj9lf,35.17767
juno13kq23z2r66clgeag3pf5gzrgyx665lzpq0cya3,0.350479
juno13lzly6934ymemk6k3tzvlu3tl7v7gzq34t9vvq,145.359423
juno13mxw4mrlp9hn6dpmsla792s0wm58sdvve2mj4p,35.17767
juno13p5dt20sggkxpj9w0lgenk87tuj8ykz0gvx5uu,3.239215
juno13qjzx5rw3lxrxp02prnmdulp8hle728ex6kgv6,20
juno13qmz4tnvqjuyfegnle35farscnz4f0avcccg0f,33
juno13reean9kraeyvakh4yhcxqkxt0gt8urll48rcq,5
juno13remta5qhldf5ust9dsx4ylj7ac0ezuk2gcp7l,35.17767
juno13rjet9eucsezer5yuqsgzkzpq30rz7hc8wutac,500
juno13tdze5zvuss9ktkela4gy089qve08w0755fc9x,130.592285
juno13ucxs8z7gksxmux57uysfy5uuyumaffdclewwe,40.79096
juno13v4ucpkj64zpzt4hj0y5q28n6h6rmpj0at5g0r,35.408524
juno13vtvd4dj4rj2yuush22a5nl3mvqdcntfmmawrr,6
juno13vwzpmmada8aangxtjyfschf04fh7mfj5x4skp,6.460015
juno13x5uxllyhx545d37dqhwnkaes9ck6h3r6x3sey,35.17767
juno13z58yn4pcdpevsl2krlj8y4sy0t2ykcnqcdzk2,20
juno13zq0yup6pzdsydu2rd5724vxplx89n28qs65c3,20
juno140jpwpu6afv70ux093ppcmg3g86fd59z39cm5d,50.576025
juno142jtu7gfs96k43gwanm3vpylegvnf535xqe755,11
juno142qp7xa4sny8qalk3gf2wyg9j9kq445p0rgvqj,1110
juno144t874ylvqte30h4fx7nj7hu2cg9x9yra6y2sl,5000
juno144tzn2plptplryemuqu99uf0ypz2087f2tk0t2,100
juno1454r68ydzkc77enlqsqw6hjysw3uulse5rpa09,35.17767
juno145krdwc3ydnkw292cf8ujhugzx9cmat0lhgyek,13
juno147nu8n84xs98r42tka28cx0lp588zy4vqxqv36,0.17767
juno1488kv08va80uyw3rqm03dxapmgak6mx4gy9gau,55.17767
juno148jaxj5kc7gvzd6yahed0txezy5ncg3phmv3nt,96.158226
juno14940jxcqdk9u60jrz6pde9clmy2fagy029dg77,5
juno1499yrn5575ynn83df2ugjq4rn2zuhm0t5ltqde,17.145694
juno149xu30eqnu5kfl207razavtgtgl6dgxdaqnjje,5.872816
juno149yvm6ylzf9h5y229vqjm2pjlyys84uucxw89m,5.5
juno14a9ypqprr5kze2tm0ejcqh20usa8xk2lnvkfj5,50
juno14cajwg99cyyp6jj7rwvapr3upjedk67qfuw27r,39.132623
juno14cgvj8rvl5v2w8jllnf6jh9gdf2sgqgc9lyepw,21.385826
juno14d043p9jr76jfl7tam4t0yhpravrmra8fjn3qf,39
juno14fp7zfehp25gr78ntn9uv7qmqgx74dklj0950e,20.03476
juno14hp2s0269kx0n84gcuk3rf58su5evpuravcs4f,15.377689
juno14j0ye8gm3saww4adfxj40jmq87c6ekl8zdpd5l,0.010592
juno14ljvnyvx53m2699egxtvctd6j9xve8nyjvnlzn,26.383252
juno14mzayfjkvc7vacwfsxkzjws8ayzascjh037746,3000
juno14paqu4gpz2hrezg4cwle0a6qrsaes72ezzps2s,1.556826
juno14pjsxrl852gxj4p8hu4euc9wqvhgjpr474sxzk,167.712737
juno14pzpkcjj7e3zvt6axefm8wdqtr8c4z3q6x47np,7.571424
juno14qdsqe89xe8t8ajtedy68kdj8u7gsp2gycgyhw,15.643043
juno14rct98qvjh36xmard8w7rmqnyfr4vrvlym2gjq,35.17767
juno14rltpuuznarjwlyt2x8jskttnjj7cgt6z8q3j4,19
juno14rq0xqw4aruwxgl79l6sxt4ejkwnhtlgsdj39z,5.8
juno14rt5w9u8xn8ty8axa4k5m9g64x8qsedreg5qz0,5.885048
juno14rz7gh2yhgklcj5cutryn7d4f9dh6nauj054ct,38.918452
juno14s2vrzqdd6g59ns5hmkse70tvzhsh590ma3zy6,20
juno14t3mz46apz934m59juprhygxz9qx09a9m70kaq,22
juno14tax6wksjm7n7xvzkyrsdlzl9p7hlfakf029sp,2887.126373
juno14ume9hru7ggfsgg560exxf8tyk4hvg7q9j92g8,90
juno14uxw3qxpr87lxrj8kludd7zztwy5we4a3kruec,17.588835
juno14vreyswzwdntc4fnr37zzekkfs4rh0hn6tm6ad,4.461562
juno14vryt4r4z3r6dqs2t0pc0sg47rp6ymc256y5te,10
juno14wq2akvrc66euwh2mp3kc2q25dl3p47t3fj29l,10
juno14xzmvz26n2qcckm8zjxnjv59dps2j5l07mapt5,34.383252
juno14yjt8qdhhgem0wmtkxd22m5vhpcpxdv5y50xwy,30
juno14yqr2q5u4sehadtfxx4rh4rjxzfht6ecjjuypm,100
juno152772r8ym0wlv02ajzfzl94yze6lezfm55ag6m,35.17767
juno153l8ng6puwut2kcjj74fk5wx34jaktckwhem2v,15.729143
juno153u9yg4mu36s9mg2xcka4wvn70emy69vjcg2j0,26.383252
juno1550c0zq7yky2lxane8twg499jw9avlrcujt0kr,3.261649
juno155ultvhmlu4lfrsmv956d5tu4hwknmykj9r77q,6.168639
juno155yuaswl057tk6f2ja8h9qlkc2tx9df7szhz0u,0.4
juno15622cetzspfzscszqvq4360ueqc367gpestgak,21
juno156724whmwqua9dxwy57dvdw2a3lh3g8y0d3vye,20
juno157a6sstrw9tuwmaqwurzqsskvrxsk3tpwtsvft,35
juno157cw08tft35ym90tm3kyhur7arg7sfkslgnp6k,35.180861
juno157es9kfx2kcn790j7nmcp6j6elguner6cvnxe2,35
juno1588duha7ugqlatx9ahc77smxzsrnph2jpxzkdg,30
juno158ep04lmck7hx7pt5vwkjhshkqs6wrhjw0cpkw,6.191011
juno158k455lcxhrvvmrfu8m4c6g88fc2qgqqjcaf9z,45
juno158n7lrhwc3kuhhnj4md8wkjn94lpdwr9trsnp7,0.314163
juno158wxl63rferzpwc6kl0fuphsw3njeesvvved8x,35.17767
juno15a8lkaz5lzcun3eevaa7r5659wt5p7fky609xt,6
juno15ast6q733srzw89u9vhwq5rm5fgs5lufet0vy3,20
juno15aswnzujga6pu3vfcuhq6ty494ld4n3rtln8hz,11.779963
juno15dymd0ms29fgngte4n7aadeapyjvx6tqnqtth9,36.5
juno15f46k58ca87cj7844rgz4z47axpksq96w76rvd,22.669599
juno15fsdsv6xg0cyc0xvw48zmra4r08ekp7fedjlhn,35.17767
juno15g3t00hlur87x33gxkmg4smkudgnklejz3gy0h,15.17767
juno15jf8qp2hpce7jeyq9d3pyj4m5uw0xqrhtz98qf,0.023222
juno15kunxjveapfn8pgqc5hgyrvw38mapdl2upuc5f,10
juno15nqukf39085m54u000hjlj5cdhw65u27k6km5a,50.4
juno15qnjtltu6hrd0fxfx6cpqnhd24mkt026hmy6y7,80.444193
juno15qqeu3mj4y4f0wu5758ym592n4aghynxkqk7f4,100
juno15rhwcde6adapfm7adpcr95lu33ypcsruv7px37,9.776578
juno15sd2c5hnypgrw8glrtr7tcspqcu835mkv0k6l6,25
juno15sfx9qfccwrnfp342dh2w8wx2jvfrln4hudt0a,15
juno15u3w5mn36qa6apaav9y8j7qnmz86a9xsu469dt,25
juno15uhw76l6hgs0lnq7pwudqce9du258ctjawxeva,35.17767
juno15usql5rxplvmfffmy8ey4v4r72lst7syu3scfj,352
juno15ut3tn7twxtwnnv4r7fqvmnxhy2ynp39hnfswr,8.794418
juno15wnjx4z4knp0h9cfru3cp0txpy5n9g5pvvm5c9,16
juno15wth2qelcg5tp33279kfhk5ufdhvedxvjqyev6,25
juno15x26esz7qyx6l60x4l97xznmk0wu0tzasp4cjz,26.383252
juno15xvalgjv5rs57ghjvyc7tcyadjmsj8j8gdmlxy,51.555289
juno15y6eq97p5x73cj39a9n2ftnlsensmyy5ytm9me,35
juno15zdcadql7savnxzzap3skk9ae4dvzyy8mtkcav,38.745615
juno15zwd722c425xyu6rwkvcd3dmzgxqd694yazqzw,34
juno1600utq378tma9vnh3tz43h2f7us7axa7efzs34,2.378408
juno1602cse30jdmctgque3j8lc78w2frxzhns0289z,35.17767
juno16034a0d2jxjf0cj3ce99n2qrg6l7nn56gc3sqc,4.884629
juno160v2vk9cmu0h8nep8ka9v3umuxgsxr9ael397w,35.17767
juno160wdvp32nwrj8nqvdyvgn84vq8mvd8dvkca99n,29.45082
juno162uqd7ftahyq7qmpp0mzluvsrym9tumq9e0net,2.5
juno162uytjrjee35jzd75kw603f9wcmgxutj0wph5t,210.5
juno163r2fakg3xdvjy3vrq3a84f6fxxduetrczxejd,35.17767
juno1659y47tffl9vdegsp6eq959g30lzkvvlszads7,0.25
juno1664csnfz0l06uywrzta5emkt2kewmx0uk2puny,20
juno1667mzjjrj842hag89xf6r7238ae9dwhdepnm70,35.17767
juno166jymkhyuyld6l63clhwrp2fup80rq64tar56s,35
juno1677wmg94tkldu8y56v92p4jqn05f3edl38zncp,10.667518
juno168xmhhyha6hc8s66ylzfzpdwca4kr8sk3drt95,36.76
juno1695sqw5g73ggzfxfeurwjkpgsx4lv4j28jw4jx,690
juno1696qscgzpma5jr69un5ddd3s3c5028u9kstt6r,1280
juno1697eu6zsqnghmac28a2d30y3ffxehpzt0stc5u,60
juno169x807p772hannrxl5lm6rjcexz8x82r8425za,1
juno16cayvvf9ytwxpp20v2n64em42h97y3tj8es2dx,35.17767
juno16ch2wpkret6z5y7m9m6hwswu2wgahkqzva6ah3,48.563232
juno16dxqfv5s4p98gyn6v4458qpgl2ws96jsrvncr7,54.18951
juno16e2ppfuazahdkfz8whmwasws744cdhlck5z5ww,34.076564
juno16ec467nvthhnq6s40r33a7c50deguuhe59qtqt,2
juno16evwm2pvj8s0g7lxy0us9ahgr2j0pdg7rrcefz,116.538686
juno16gd7qy55k3naxw08czy7p0u20u4gfu7gv4f3w7,35.17767
juno16gv8q27zjwdnll9m99z7sa78hgre888vpm3ks0,8.300364
juno16hzje85g809q9e57talx2m2quv0x4sh5e9alzf,16.205985
juno16jsvh7rdd564vt8hxc2l7x8j8k3hj3qnyk7elu,1
juno16mfca6k0cje3dc9hsx3x6tshul4tevhx7f9m5e,0.142892
juno16n0q0prqt3scpq3lqzkqfslz4902s3kk04l78l,38.128631
juno16n6klgn79dvey5mc5k73tvtm9nn58r77zeuuaf,35.17767
juno16pfkyl4a3uq239hr5cleje768m4nmnxth6rfjv,35
juno16puvnjljw225nt0nx7c0t2mfkas2wnfw3rzl7v,20
juno16q6u906vehfdnkqwm0w94e5ltth39jyukz94u3,8
juno16q8mm4ywqe0h2nxyxs4c5ldgvcp46e0w242tj6,31.17767
juno16qehl8cv6vdnqpdm9y07sxlzn058lc8cd5sv8y,5.872259
juno16qp4ttkkcgn6fw5dvwt7k8aqh3vq0tawy8rrkk,4
juno16r3wtvrpwx7g0lpr0g9vjksm50kn8pgthxx3z2,30
juno16r4n78rw0sqd0u939jlypnvpd08f9ux40j9y0d,10010.01031
